	Common Settings,	
	.Source/Sweep Points,	101
	.Stepper,	base
	.Stepper Points,	5
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	base
	..Instrument,	New Top 2450
	...Model,	2450
	...Serial Number,	01419964
	..Source Settings,	
	...Mode,	DC
	...Function,	Current Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5E-05
	...Stop,	0.0004
	...Step,	8.75E-05
	...Limit,	20
	..Measure Settings,	
	...Current,	Measured
	...Voltage,	False
	...Range,	Auto
	...Minimum Range,	0.02
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	collector
	..Instrument,	Bottom 2450
	...Model,	2450
	...Serial Number,	01419958
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	4
	...Step,	0.04
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","base = 5E-05Abase Time (s)","base = 5E-05Abase Current (A)","base = 5E-05Acollector Voltage (V)","base = 5E-05Acollector Current (A)","base = 0.0001375Abase Time (s)","base = 0.0001375Abase Current (A)","base = 0.0001375Acollector Voltage (V)","base = 0.0001375Acollector Current (A)","base = 0.000225Abase Time (s)","base = 0.000225Abase Current (A)","base = 0.000225Acollector Voltage (V)","base = 0.000225Acollector Current (A)","base = 0.0003125Abase Time (s)","base = 0.0003125Abase Current (A)","base = 0.0003125Acollector Voltage (V)","base = 0.0003125Acollector Current (A)","base = 0.0004Abase Time (s)","base = 0.0004Abase Current (A)","base = 0.0004Acollector Voltage (V)","base = 0.0004Acollector Current (A)"
"29","2.933534","4.99996567668859E-05","1.11710131168365","0.00834374874830246","12.97319112","0.000137495662784204","1.1199734210968","0.0227843541651964","22.21712206","0.000224995703320019","1.11997056007385","0.0327600091695786","31.44910992","0.00031249230960384","1.11996805667877","0.0398638024926186","40.6842927","0.000399989599827677","1.11996710300446","0.0456368662416935"
"30","3.00781228","4.99996785947587E-05","1.15673863887787","0.00835439935326576","13.04746606","0.000137495633680373","1.15998923778534","0.0228599607944489","22.29140878","0.000224995645112358","1.15998470783234","0.0330627448856831","31.52339318","0.000312492338707671","1.15998220443726","0.0402503684163094","40.7585735","0.000399989861762151","1.15998029708862","0.0460607819259167"
"31","3.08207958","4.99996676808223E-05","1.19638335704803","0.00836492422968149","13.12174076","0.000137495415401645","1.19998502731323","0.0229196734726429","22.36570026","0.000224995266762562","1.19998002052307","0.0333553366363049","31.5976629","0.000312492134980857","1.19997763633728","0.0406307242810726","40.83285298","0.000399989425204694","1.19997584819794","0.0464797802269459"
"32","3.15634782","4.99996749567799E-05","1.23607134819031","0.00837512966245413","13.19599622","0.000137495648232289","1.2400062084198","0.0227758027613163","22.43997008","0.000224995194002986","1.23998844623566","0.0336374752223492","31.67193216","0.000312492687953636","1.239985704422","0.0410051234066486","40.90712318","0.000399989221477881","1.23998284339905","0.0468939952552319"
"33","3.23063044","4.99996313010342E-05","1.27575242519379","0.00838493462651968","13.2702945","0.00013749576464761","1.28002238273621","0.0226487424224615","22.51425014","0.000224995092139579","1.27996051311493","0.0339088439941406","31.74620758","0.000312492222292349","1.27995836734772","0.0413731150329113","40.98139694","0.000399989483412355","1.27995645999908","0.0473029688000679"
"34","3.30489616","4.99996749567799E-05","1.31549537181854","0.00839434750378132","13.34456658","0.000137495604576543","1.32010173797607","0.0225306078791618","22.58850402","0.000224995281314477","1.31995689868927","0.034168865531683","31.8204986","0.00031249228050001","1.31995499134064","0.0417349226772785","41.05567382","0.000399989396100864","1.319953083992","0.0477070398628712"
"35","3.37916908","4.99996458529495E-05","1.35527074337006","0.00840320345014334","13.41883788","0.000137495851959102","1.36022222042084","0.0224135741591454","22.6627901","0.000224995586904697","1.35995554924011","0.0344172343611717","31.89477184","0.000312492396915331","1.35995328426361","0.0420905239880085","41.12994178","0.00039998980355449","1.35995042324066","0.048106424510479"
"36","3.4534541","4.99996567668859E-05","1.39508807659149","0.00841156765818596","13.49310944","0.00013749607023783","1.40039443969727","0.0222961381077766","22.73706804","0.000224995135795325","1.3999627828598","0.0346533358097076","31.96904046","0.000312492222292349","1.39996004104614","0.0424397625029087","41.20421728","0.000399989541620016","1.39995753765106","0.0485007353127003"
"37","3.52773054","4.99996276630554E-05","1.43493902683258","0.00841934327036142","13.5673948","0.000137496186653152","1.44060683250427","0.0221771579235792","22.81135518","0.000224995135795325","1.43997061252594","0.0348770283162594","32.04330868","0.000312492164084688","1.43996930122375","0.0427827164530754","41.27848638","0.000399989425204694","1.43996727466583","0.0488905049860477"
"38","3.60200892","4.99996785947587E-05","1.47481191158295","0.00842647533863783","13.64165388","0.000137495604576543","1.48083925247192","0.0220567844808102","22.88563382","0.00022499545593746","1.47996985912323","0.0350883640348911","32.11760486","0.000312491931254044","1.47996830940247","0.0431187972426414","41.35276018","0.000399989599827677","1.47996652126312","0.0492752753198147"
